entry_id,old_billing_sku,old_kms,new_billing_sku,new_kms
2390,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
2392,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2395,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2397,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2403,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2404,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2405,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2577,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2578,ABC-Donmar-PNB-PNB,361.00,ABC-Donmar-DVO-DVO,340.00
2579,ABC-Donmar-PNB-PNB,361.00,ABC-Donmar-DVO-DVO,340.00
2593,"Good Farmer-11-PNB-PNB",167.40,"Good Farmer-11-DVO-DVO",213.40
2596,ABC-Pantukan-PNB-PNB,130.00,ABC-Pantukan-DVO-DVO,185.00
2598,ABC-Pantukan-PNB-PNB,130.00,ABC-Pantukan-DVO-DVO,185.00
2599,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
2600,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-PNB,143.00
2601,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
2602,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2603,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2604,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2605,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2606,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2612,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
